studentId,class
1,8B
2,12E
3,6U
4,11S
5,6Q
6,8T
7,5Z
8,9O
9,9F
10,3F
11,3L
12,8J
13,1R
14,5S
15,6P
16,2E
17,9J
18,10R
19,4U
20,6X
21,12Z
22,10Z
23,8P
24,5J
25,10P
26,10C
27,1U
28,8H
29,8B
30,1S
31,8W
32,5M
33,10X
34,6O
35,9X
36,9V
37,2Q
38,4Z
39,10J
40,3L
41,6V
42,6O
43,11F
44,10Z
45,8S
46,2R
47,7P
48,9E
49,10W
50,12A
51,11U
52,1T
53,4P
54,4M
55,8M
56,2T
57,5R
58,1M
59,9B
60,7N
61,4T
62,11S
63,10U
64,11G
65,6G
66,11J
67,11J
68,4S
69,8P
70,6C
71,2N
72,6E
73,6G
74,9L
75,9E
76,7L
77,12E
78,1V
79,10I
80,11M
81,4A
82,9V
83,3T
84,2G
85,11H
86,4S
87,1H
88,4N
89,9J
90,12U
91,2O
92,3Q
93,5S
94,4T
95,5U
96,5A
97,8E
98,12H
99,1Z
100,3V
101,2L
102,4C
103,5W
104,7K
105,4Q
106,11F
107,8G
108,8V
109,2I
110,5H
111,1N
112,6L
113,12M
114,11V
115,6E
116,10P
117,5I
118,7V
119,6N
120,3C
121,1C
122,8O
123,9F
124,1D
125,2E
126,1X
127,12Y
128,4O
129,4A
130,11P
131,7K
132,2W
133,8R
134,8P
135,1M
136,10Z
137,7J
138,3M
139,6M
140,3U
141,5P
142,1C
143,7N
144,2Q
145,10G
146,10V
147,8N
148,4A
149,1M
150,5A
151,5Z
152,11R
153,8X
154,11K
155,9V
156,10T
157,1A
158,7P
159,3O
160,12O
161,4K
162,3N
163,12G
164,1B
165,8Q
166,1J
167,5H
168,6V
169,6Q
170,3F
171,8I
172,11Q
173,6E
174,3I
175,6A
176,1G
177,1A
178,12S
179,1J
180,5B
181,9K
182,7H
183,1L
184,2U
185,7V
186,7N
187,10G
188,6B
189,1Y
190,3K
191,11A
192,4I
193,10I
194,10G
195,1T
196,5T
197,10H
198,3K
199,6J
200,3B
201,9E
202,10O
203,2V
204,4W
205,7S
206,5U
207,4D
208,9C
209,2C
210,8K
211,5S
212,9Q
213,12W
214,1O
215,9L
216,1H
217,6V
218,4G
219,9O
220,3M
221,8H
222,4V
223,5A
224,1I
225,12J
226,2C
227,1B
228,8X
229,7D
230,12D
231,1T
232,11H
233,6V
234,12D
235,4L
236,1E
237,12V
238,8J
239,11X
240,9Y
241,6C
242,6T
243,4R
244,8Z
245,8X
246,7C
247,8W
248,12K
249,12D
250,4A
251,9Y
252,4L
253,5N
254,9E
255,3G
256,7X
257,9R
258,4A
259,3W
260,3D
261,8H
262,2L
263,8H
264,10R
265,4G
266,8W
267,7L
268,9C
269,9G
270,3X
271,11P
272,4R
273,10D
274,12Q
275,6V
276,5U
277,8M
278,3W
279,9W
280,2Q
281,1L
282,3X
283,7H
284,10I
285,5G
286,3F
287,2K
288,7O
289,4D
290,1G
291,12O
292,10N
293,1K
294,11G
295,9T
296,7V
297,12H
298,1N
299,7R
300,3B
301,9R
302,3A
303,6V
304,9F
305,10V
306,1A
307,1S
308,12R
309,9B
310,11N
311,11G
312,1J
313,4R
314,11X
315,10D
316,10F
317,9Z
318,5B
319,11J
320,9N
321,7W
322,8Y
323,8Y
324,2O
325,7N
326,8K
327,1M
328,7T
329,1K
330,8G
331,10W
332,10A
333,11O
334,4M
335,1E
336,10T
337,2T
338,5M
339,3M
340,10O
341,10Y
342,8G
343,12V
344,3C
345,4W
346,11D
347,6W
348,1Q
349,6K
350,5E
351,5L
352,8M
353,12J
354,1S
355,12U
356,6H
357,2O
358,12V
359,3R
360,11S
361,2T
362,5W
363,3K
364,4K
365,12S
366,8I
367,9Y
368,1V
369,2X
370,5Q
371,12F
372,7T
373,12Y
374,8Z
375,10B
376,7C
377,10E
378,9V
379,2U
380,7K
381,8I
382,12C
383,9P
384,6J
385,8R
386,8J
387,12S
388,7L
389,2S
390,10Z
391,1Y
392,9G
393,5A
394,3V
395,11X
396,9F
397,7A
398,11N
399,10P
400,8M
401,10W
402,12V
403,8G
404,1W
405,11Q
406,12B
407,11C
408,11M
409,1O
410,11F
411,5V
412,12Z
413,7M
414,3G
415,1K
416,7Z
417,4N
418,10C
419,10O
420,4P
421,5S
422,12X
423,4K
424,10G
425,2I
426,3V
427,4X
428,12W
429,6A
430,11U
431,10E
432,7B
433,2K
434,2Y
435,8O
